;Ariel;Shadows_in_Paradise;Four_Rooms;Judgment_Night;Life_in_Loops;Sunday_in_August;Star_Wars;Finding_Nemo;Forrest_Gump;American_Beauty;Citizen_Kane;Dancer_in_the_Dark;The_Dark;The_Fifth_Element;Metropolis;My_Life_WiThou_Me;The_Endless_Summer;Pirates_of_the_Caribbean__The_Curse_of_the_Black_Pearl;Kill_Bill__Vol_I;Jarhead;Walk_on_Water;Nine_Songs;Apocalypse_Now;Magnetic_Rose;Unforgiven;The_Simpsons_Movie;Eternal_Sunshine_of_the_Spotless_Mind;Amores_perros;Pirates_of_the_Caribbean__Dead_Mans_Chest;A_History_of_Violence;Two_Thouand_and_one__A_Space_Odyssey;Twelve_Monkeys;Talk_to_Her;Eight_Mile;Absolute_Power;Paradise_Now;Brazil;Walk_the_Line;Million_Dollar_Baby;Billy_Elliot;American_History_X;War_of_the_Worlds;Mars_Attacks;Before_Sunrise;Memento;Blade_Runner;Hero;Before_Sunset;Nausica_of_the_Valley_of_the_Wind;Miami_Vice;Open_Water;Raiders_of_the_Lost_Ark;The_Elementary_Particles;Indiana_Jones_and_the_Temple_of_Doom;Dirty_Dancing;Indiana_Jones_and_the_Last_Crusade;Beverly_Hills_Cop;Land_WiThou_Bread;Megacities;Anatomy_of_a_Murder;Kunstgriff;Armageddon;Beverly_Hills_Cop_II;Tron;Gladiator;All_About_My_Mother;Lock__Stock_and_Two_Smoking_Barrels;Leon__The_Professional;Open_Hearts;Taxi_Driver;Run_Lola_Run;Back_to_the_Future;Predator;Snatch;Three_Colors__Blue;Three_Colors__White;Three_Colors__Red;Scarface;Italian_for_Beginners;Spring__Summer__Fall__Winter_and_Spring;Pretty_Woman;The_Big_Lebowski;Match_Point;The_Untouchables;Charlie_and_the_Chocolate_Factory;The_Lord_of_the_Rings__The_Fellowship_of_the_Ring;The_Lord_of_the_Rings__The_Two_Towers;The_Lord_of_the_Rings__The_Return_of_the_King;The_Lord_of_the_Rings;No_End;Railway_Station;Short_Working_Day;Blind_Chance;Princess_Mononoke;Spirited_Away;Gimme_Shelter;Primary;O_Brother__Where_Art_Thou;Dont_Look_Back;Freaks;Groundhog_Day;Dracula;Mifunes_Last_Song;Bad_Education;Donnie_Darko;Brokeback_Mountain;All_Quiet_on_the_Western_Front;Wings_of_Desire;Breaking_the_Waves;Crouching_Tiger__Hidden_Dragon;The_Four_hundred_Blows;The_Secret_Life_of_Words;Akira;Fourty_eight_hours;Star_Trek__The_Motion_Picture;Lost_in_Translation;Star_Trek_II__The_Wrath_of_Khan;The_Dark_Knight;Wilbur_Wants_to_Kill_Himself;Star_Trek_III__The_Search_for_Spock;Knockin_on_Heavens_Door;Maybe_Maybe_Not;The_Arrival_of_a_Train_at_La_Ciotat;Oceans_Eleven;Edward_Scissorhands;Oceans_Twelve;Breakfast_at_Tiffanys;Back_to_the_Future_Part_II;The_Party;KPAX;Star_Trek_IV__The_Voyage_Home;Predator_II;Twenty_eight_Days_Later;The_Party_II;Star_Trek_V__The_Final_Frontier;Twenty_Thouand_Leagues_Under_the_Sea;Star_Trek_VI__The_Undiscovered_Country;The_Big_Blue;Saw;The_Fisher_King;Blown_Away;The_Interpreter;Minority_Report;The_Good_German;The_Wizard;Jackie_Brown;A_Clockwork_Orange;Lucky_Number_Slevin;Sin_City;Sin_City__A_Dame_to_Kill_For;The_State_I_Am_In;The_Name_of_the_Rose;Star_Trek__Generations;Amelie;Trouble_in_Paradise;Back_to_the_Future_Part_III;Braveheart;To_Be_or_Not_to_Be;Star_Trek__First_Contact;Star_Trek__Insurrection;Star_Trek__Nemesis;Mean_Streets;The_Wages_of_Fear;Hotel_Rwanda;Paradise_Found;Dead_Poets_Society;Berlin_is_in_Germany;Arsenic_and_Old_Lace;North_by_Northwest;Saw_III;Saw_II;Ali__Fear_Eats_the_Soul;Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull;The_Terminator;Volver;East_of_Eden;Rebel_WiThou_a_Cause;Berlin__Symphony_of_a_Great_City;Rebecca;Man_of_Marble;Man_of_Iron;Boys_Dont_Cry;The_Outsiders;The_Blue_Angel;Bride_of_Frankenstein;Syriana;Rumble_Fish;The_Wanderers;The_Cabinet_of_Dr_Caligari;Stand_by_Me;Muriels_Wedding;Young_Adam;The_Godfather;Some_Like_It_Hot;The_Godfather__Part_II;Natural_Born_Killers;The_Godfather__Part_III;High_Fidelity;King_Kong;About_a_Boy;Zatoichi;The_Killing;Pocketful_of_Miracles;The_War_of_the_Roses;In_China_They_Eat_Dogs;Ghost;Willy_Wonka_and_the_Chocolate_Factory;Live_and_Let_Die;Stolen_Kisses;Antoine_and_Colette;Oliver_Twist;Bed_and_Board;Love_on_the_Run;The_Thirty_nine_Steps;Cat_on_a_Hot_Tin_Roof;The_King_of_Comedy;Lili_Marleen;Contempt;Live_Flesh;Batman;Breathless;Wir_sagen_Du_Schatz;Ronja_Robbersdaughter;Batman_Begins;The_White_Sound;The_Silence_of_the_Lambs;Fargo;The_Edukators;Underworld;The_Shawshank_Redemption;Amadeus;Terminator_II__Judgment_Day;Strange_Days;The_Apartment;Pirates_of_the_Caribbean__At_Worlds_End;Germany__A_Summers_Fairytale;Bull_Durham;High_Noon;Casablanca;Barton_Fink;Riding_Giants;Dave_Chappelles_Block_Party;A_River_Runs_Through_It;Desert_Hearts;Terminator_III__Rise_of_the_Machines;Meet_Joe_Black;Oceans_Thirteen;The_Science_of_Sleep;Rio_Bravo;Swimming_Pool;Notorious;Beverly_Hills_Cop_III;Rome__Open_City;Broken_Flowers;The_Celebration;Bruce_Almighty;Once_Upon_a_Time_in_America;Beyond_Silence;Snow_Cake;Catwoman;Faster__Pussycat_Kill_Kill;Grill_Point;Grbavica__The_Land_of_My_Dreams;The_Million_Dollar_Hotel;True_Romance;Insomnia;Mambo_Italiano;Mystic_River;Snakes_on_a_Plane;Brother;Jurassic_Park;The_Lost_World__Jurassic_Park;Jurassic_Park_III;Inspector_Gadget;Bollywood__Hollywood;Magnolia;Once_Upon_a_Time_in_the_West;Duck__You_Sucker;Monsieur_Ibrahim;Good_bye__Lenin;Night_on_Earth;Everything_is_Illuminated;A_Crime;Summer_Storm;Harold_and_Maude;Bang__Boom__Bang;Eyes_Wide_Shut;Seven_Samurai;People_on_Sunday;Alien;Cockles_and_Muscles;The_Devil_Wears_Prada;Longing;HeadOn;Batman_Returns;A_Nightmare_on_Elm_Street;Raising_Arizona;Millers_Crossing;Rain_Man;To_Catch_a_Thief
Back_to_the_Future;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0
Predator;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1
Snatch;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1
Three_Colors__Blue;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1
Three_Colors__White;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1
Three_Colors__Red;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1
Scarface;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1
Italian_for_Beginners;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1
Spring__Summer__Fall__Winter_and_Spring;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1
Pretty_Woman;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1
The_Big_Lebowski;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1
Match_Point;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1
The_Untouchables;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1
Charlie_and_the_Chocolate_Factory;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0
The_Lord_of_the_Rings__The_Fellowship_of_the_Ring;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
The_Lord_of_the_Rings__The_Two_Towers;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
The_Lord_of_the_Rings__The_Return_of_the_King;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
